t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1581664881,11981713,15760.278189,16279.133491,14560.425931,8990.099849,events/second
1581664891,12138493,15759.209471,16155.991341,14590.474803,9061.777570,events/second
1581664901,12296278,15759.457304,16116.038052,14632.827507,9137.117563,events/second
1581664911,12453058,15758.426744,16054.582503,14669.975281,9210.455983,events/second
1581664921,12614863,15763.701122,16079.695514,14719.743274,9287.500018,events/second
1581664931,12785713,15780.007678,16190.954795,14787.538547,9370.343323,events/second
1581664941,12934453,15768.961411,16036.991384,14800.339804,9434.497299,events/second
1581664951,13087213,15763.024298,15920.165299,14815.933800,9499.043630,events/second
1581664961,13234948,15751.247724,15743.488734,14814.515198,9557.321235,events/second
1581664971,13380673,15737.385086,15563.078078,14806.553541,9612.733923,events/second
1581664981,13539463,15739.030900,15598.076738,14838.500103,9680.872492,events/second
1581664991,13691218,15732.555263,15532.561000,14849.520818,9741.582902,events/second
1581665001,13838953,15721.660411,15415.388778,14847.001103,9797.180542,events/second
1581665011,13984678,15708.752482,15258.345204,14831.549602,9847.740415,events/second
1581665021,14130403,15696.130440,15205.766051,14833.215851,9903.309473,events/second
1581665031,14278138,15685.994200,15104.050737,14824.476377,9954.880618,events/second
1581665041,14436928,15688.092043,15236.520740,14862.260188,10021.441063,events/second
1581665051,14586673,15680.420538,15213.009327,14869.289540,10077.287091,events/second
1581665061,14737423,15673.981229,15166.105088,14869.663615,10130.313579,events/second
1581665071,14874103,15652.871361,14965.690780,14836.803048,10171.618439,events/second
1581665081,15027868,15649.992820,14983.756715,14844.666984,10225.805066,events/second
1581665091,15179623,15645.102930,15075.549646,14868.719564,10284.942296,events/second
1581665101,15336403,15645.438255,15168.036785,14895.250933,10344.533484,events/second
1581665111,15484138,15636.632798,15074.683547,14884.587531,10391.241615,events/second
